block,trial,trialtype,trialtype_string,cuetype,cuetype_string,correct_key,key_pressed,is_resp_corr,reaction_time
1,1,1,left_cong,1,cong,num_7,num_7,1,0.931551000001491
1,2,0,right_cong,1,cong,num_9,num_9,1,0.5735977000003913
1,3,0,right_cong,1,cong,num_9,num_9,1,0.4616161000012653
1,4,0,right_cong,1,cong,num_9,num_9,1,0.3720038999999815
1,5,1,left_cong,1,cong,num_7,num_7,1,0.4336055999992823
1,6,1,left_cong,1,cong,num_7,num_7,1,0.534296900001209
1,7,0,right_cong,1,cong,num_9,num_9,1,0.6564844999993511
1,8,0,right_cong,1,cong,num_9,num_9,1,0.5401332000001275
1,9,1,left_cong,1,cong,num_7,num_7,1,0.5077188000032038
1,10,1,left_cong,1,cong,num_7,,0,
1,1,1,left_cong,1,cong,num_7,num_7,1,0.3882677000001422
1,2,0,right_cong,1,cong,num_9,num_7,0,0.23989300000175717
