block,trial,trialtype,trialtype_string,cuetype,cuetype_string,correct_key,key_pressed,is_resp_corr,reaction_time,reaction_time_vpixx
1,1,0,right_cong,1,cong,red,red,1,1.2703,1.2748
1,2,1,left_cong,1,cong,green,green,1,0.9491,0.9534
1,3,1,left_cong,1,cong,green,green,1,0.9773,0.9816
1,4,0,right_cong,1,cong,red,red,1,1.0742,1.0781
1,5,1,left_cong,1,cong,green,,0,,
1,6,0,right_cong,1,cong,red,green,0,0.7382,0.7419
1,7,1,left_cong,1,cong,green,green,1,0.2615,0.2633
1,8,0,right_cong,1,cong,red,green,0,0.1706,0.1726
1,9,0,right_cong,1,cong,red,green,0,0.3169,0.3188
1,10,0,right_cong,1,cong,red,red,1,0.3044,0.3056
1,11,1,left_cong,1,cong,green,,0,,
1,12,0,right_cong,1,cong,red,,0,,
1,13,3,left_incg,0,incg,red,red,1,1.4217,1.4255
1,14,2,right_incg,0,incg,green,red,0,0.4937,0.4956
1,15,2,right_incg,0,incg,green,,0,,
1,1,0,right_cong,1,cong,red,green,0,0.3645,0.3659
1,2,1,left_cong,1,cong,green,green,1,0.3855,0.3874
1,3,1,left_cong,1,cong,green,green,1,0.3722,0.3749
1,4,0,right_cong,1,cong,red,green,0,0.3015,0.3039
1,5,1,left_cong,1,cong,green,green,1,0.3606,0.3625
1,1,0,right_cong,1,cong,red,,0,,
1,2,1,left_cong,1,cong,green,,0,,
1,3,1,left_cong,1,cong,green,,0,,
1,4,0,right_cong,1,cong,red,,0,,
1,5,1,left_cong,1,cong,green,,0,,
1,6,0,right_cong,1,cong,red,,0,,
